NM_MUNICIP;Evapotranspiração média 1961-2020;Precipitação média 1961-2020;spei média 1961-2020
LASSANCE;1412,868997;1094,285684;0,059259929
PORTEIRINHA;1584,240031;791,8852824;0,193034149
MIRAVÂNIA;1617,037012;920,412146;0,177177954
BERIZAL;1408,43999;772,505896;0,084281075
MANGA;1677,429552;828,150177;0,105909353
INDAIABIRA;1476,331345;766,6895065;-0,001151964
SANTA CRUZ DE SALINAS;1391,282715;797,7676514;0,060272644
IBIRACATU;1545,239197;924,8859253;0,06597089
BRASÍLIA DE MINAS;1513,615823;1015,197549;-0,013752654
ESPINOSA;1704,417306;724,9418815;0,16407861
OLHOS-D'ÁGUA;1350,93418;1056,902994;0,090461249
MATO VERDE;1595,204183;780,2258097;0,166243156
VARGEM GRANDE DO RIO PARDO;1513,22854;751,1631348;0,070230159
CAPITÃO ENÉAS;1553,890063;898,3661377;-0,006307995
MAMONAS;1670,535278;728,323761;0,134195928
BOTUMIRIM;1362,757656;960,9651446;0,1385591
GUARACIAMA;1397,522217;1019,300151;0,037935248
JEQUITAÍ;1468,342685;1021,839239;0,047047258
JOSÉ GONÇALVES DE MINAS;1375,2824;896,8887482;0,197641505
JUVENÍLIA;1684,595302;842,1315831;0,145226728
BERILO;1390,440865;854,6852699;0,193910126
BONITO DE MINAS;1568,41058;996,6366146;-0,053855986
FRANCISCO SÁ;1483,330712;922,831293;0,020108285
URUCUIA;1522,150703;1060,797146;-0,014825955
PONTO CHIQUE;1532,848175;1024,276993;0,039668451
MONTE AZUL;1660,740677;747,5908203;0,097407472
CAMPO AZUL;1523,001831;1034,773901;0,102027071
JOSENÓPOLIS;1395,543262;864,789209;0,182355194
LONTRA;1539,93988;951,342865;0,015538742
VARZELÂNDIA;1578,013468;908,5463053;0,040109946
MONTALVÂNIA;1624,990957;918,7181295;0,163486887
CÔNEGO MARINHO;1583,32421;936,1916591;0,101307497
SANTA FÉ DE MINAS;1500,437057;1066,504184;-0,06966466
AUGUSTO DE LIMA;1353,636963;1056,198486;0,104008697
JANUÁRIA;1573,366346;1003,685694;-0,08469425
PATIS;1522,503459;974,1848348;-0,112602418
RIO PARDO DE MINAS;1484,64265;846,4027981;0,13842337
NOVORIZONTE;1439,483765;885,887146;0,063631078
FRANCISCO DUMONT;1408,944298;1049,000742;0,109020825
CRISTÁLIA;1390,798604;912,0070496;0,152506417
ÁGUAS VERMELHAS;1404,125081;786,3983426;0,111799799
PEDRAS DE MARIA DA CRUZ;1601,351048;897,8232073;0,022944979
TAIOBEIRAS;1433,26864;802,1669373;0,062347584
CORONEL MURTA;1397,22168;777,6983643;0,143335342
